age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,contacted_before,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,services,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,services,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,services,married,high.school,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
59,admin.,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
24,technician,single,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
25,services,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
25,services,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
30,unemployed,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,retired,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,technician,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,admin.,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,technician,married,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
59,technician,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
55,admin.,married,university.degree,unknown,yes,unknown,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
46,admin.,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
59,technician,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
49,blue-collar,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,admin.,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,services,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
58,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
38,admin.,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,admin.,married,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,technician,single,professional.course,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
54,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
60,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
53,admin.,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
50,management,married,university.degree,unknown,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,services,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
25,technician,single,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
48,admin.,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,admin.,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
33,admin.,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,management,married,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,admin.,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,1
55,technician,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
33,services,married,high.school,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
55,management,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,blue-collar,married,basic.4y,unknown,yes,unknown,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
38,admin.,married,high.school,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,1
38,technician,single,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,management,married,basic.6y,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,1
34,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
57,admin.,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,services,married,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,services,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
54,services,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
43,services,single,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
35,services,divorced,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
