age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed,year,date
38,services,married,high.school,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
33,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,3,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,yes,2009,2009-04-01
43,self-employed,married,high.school,unknown,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
31,technician,married,professional.course,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
43,self-employed,married,high.school,unknown,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
34,blue-collar,single,basic.9y,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
29,admin.,married,university.degree,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
56,entrepreneur,divorced,university.degree,no,no,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
30,services,single,high.school,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
33,blue-collar,married,professional.course,no,yes,yes,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
39,admin.,married,high.school,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
49,admin.,married,basic.6y,no,yes,no,cellular,apr,wed,2,999,1,failure,-1.8,93.075,-47.1,1.4980000000000002,5099.1,yes,2009,2009-04-01
33,management,single,university.degree,no,yes,yes,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
33,management,single,university.degree,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
40,blue-collar,single,basic.9y,no,no,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
33,management,single,university.degree,no,yes,yes,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,yes,2009,2009-04-01
33,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,yes,2009,2009-04-01
46,retired,married,basic.6y,unknown,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
29,admin.,single,university.degree,no,no,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
29,admin.,single,university.degree,no,yes,no,cellular,apr,wed,1,5,2,success,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
29,admin.,single,university.degree,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,no,2009,2009-04-01
